state,telecom_circle,provider,year,month,wireless_subscribers,wireline_subscribers,vlr_proportion
Uttar Pradesh,Uttar Pradesh East,Bharti Airtel,2021,4,,,106.96
Uttar Pradesh,Uttar Pradesh East,Bharti Airtel,2021,4,,84389.0,
Uttar Pradesh,Uttar Pradesh East,Bharti Airtel,2021,4,35688683.0,,
Uttar Pradesh,Uttar Pradesh East,Reliance Communications,2021,4,389.0,23.0,46.02
Uttar Pradesh,Uttar Pradesh East,Reliance Jio,2021,4,31938287.0,149995.0,86.99
Uttar Pradesh,Uttar Pradesh East,Tata Teleservices,2021,4,,7818.0,
Uttar Pradesh,Uttar Pradesh East,Vodafone Idea,2021,4,22362088.0,20460.0,94.03
Uttar Pradesh,Uttar Pradesh West,BSNL,2021,4,3529105.28206112,85784.964370919,26.05786019646
Uttar Pradesh,Uttar Pradesh West,Bharti Airtel,2021,4,,,64.82451451748
Uttar Pradesh,Uttar Pradesh West,Bharti Airtel,2021,4,,33337.027401549,
Uttar Pradesh,Uttar Pradesh West,Bharti Airtel,2021,4,10413274.2261127,,
Uttar Pradesh,Uttar Pradesh West,Reliance Communications,2021,4,154.631715584,4.832241112,7.07923322908
Uttar Pradesh,Uttar Pradesh West,Reliance Jio,2021,4,12914454.3062867,89494.917484657,46.4499176891
Uttar Pradesh,Uttar Pradesh West,Tata Teleservices,2021,4,,2622.698863538,
Uttar Pradesh,Uttar Pradesh West,Vodafone Idea,2021,4,11778522.475245,4083.24373964,55.54057128105
Uttarakhand,Uttar Pradesh West,BSNL,2021,4,2313492.71793888,56236.035629081,17.08213980354
Uttarakhand,Uttar Pradesh West,Bharti Airtel,2021,4,,,42.49548548252
Uttarakhand,Uttar Pradesh West,Bharti Airtel,2021,4,,21853.972598451,
Uttarakhand,Uttar Pradesh West,Bharti Airtel,2021,4,6826385.77388726,,
Uttarakhand,Uttar Pradesh West,Reliance Communications,2021,4,101.368284416,3.167758888,4.64076677092
Uttarakhand,Uttar Pradesh West,Reliance Jio,2021,4,8466025.69371328,58668.082515343,30.4500823109
Uttarakhand,Uttar Pradesh West,Tata Teleservices,2021,4,,1719.301136462,
Uttarakhand,Uttar Pradesh West,Vodafone Idea,2021,4,7721369.52475501,2676.75626036,36.40942871895
West Bengal,Kolkata,BSNL,2021,4,2446659.0,311204.0,43.8
West Bengal,Kolkata,Bharti Airtel,2021,4,,,94.72
West Bengal,Kolkata,Bharti Airtel,2021,4,,155743.0,
West Bengal,Kolkata,Bharti Airtel,2021,4,5809009.0,,
West Bengal,Kolkata,Reliance Communications,2021,4,27.0,7651.0,
West Bengal,Kolkata,Reliance Jio,2021,4,11368418.0,140990.0,75.53
West Bengal,Kolkata,Tata Teleservices,2021,4,,46330.0,
West Bengal,Kolkata,Vodafone Idea,2021,4,6974869.0,14990.0,84.22
West Bengal,West Bengal,BSNL,2021,4,2522925.80604582,197909.916407309,71.95860880774
West Bengal,West Bengal,Bharti Airtel,2021,4,,,98.50039426707
West Bengal,West Bengal,Bharti Airtel,2021,4,15191819.5809483,,
West Bengal,West Bengal,Reliance Communications,2021,4,903.192326663,12.860350763,20.25999874048
West Bengal,West Bengal,Reliance Jio,2021,4,21640199.2835822,61879.061582801,87.06457466551
West Bengal,West Bengal,Tata Teleservices,2021,4,,2296.067240071,
West Bengal,West Bengal,Vodafone Idea,2021,4,16786646.5179342,118.71093012,97.27371465583
Andaman And Nicobar Islands,West Bengal,BSNL,2021,3,10523.88927613,826.722925043,0.30725389383
Andaman And Nicobar Islands,West Bengal,Bharti Airtel,2021,3,,,0.4017523058
Andaman And Nicobar Islands,West Bengal,Bharti Airtel,2021,3,63497.599520109,,
Andaman And Nicobar Islands,West Bengal,Reliance Communications,2021,3,3.860781912,0.012374301,0.08505269554
Andaman And Nicobar Islands,West Bengal,Reliance Jio,2021,3,88367.543915715,232.459493819,0.35114141471
Andaman And Nicobar Islands,West Bengal,Tata Teleservices,2021,3,,9.69320245,
Andaman And Nicobar Islands,West Bengal,Vodafone Idea,2021,3,69892.741396084,0.49497204,0.4067020262
Andhra Pradesh,Andhra Pradesh,BSNL,2021,3,5677708.99832339,329282.60672532,58.2
Andhra Pradesh,Andhra Pradesh,Bharti Airtel,2021,3,,,96.02
Andhra Pradesh,Andhra Pradesh,Bharti Airtel,2021,3,,151848.851900273,
Andhra Pradesh,Andhra Pradesh,Bharti Airtel,2021,3,18358607.7283405,,
Andhra Pradesh,Andhra Pradesh,Reliance Communications,2021,3,603.14933010133,13094.6122783904,108.55
Andhra Pradesh,Andhra Pradesh,Reliance Jio,2021,3,18740708.3973937,208753.558668881,77.81
Andhra Pradesh,Andhra Pradesh,Vodafone Idea,2021,3,9233331.15591312,29999.2057478971,90.69
Arunachal Pradesh,North East,BSNL,2021,3,41441.745354976,2039.214364335,2.01427400631
Arunachal Pradesh,North East,Bharti Airtel,2021,3,,,3.1258582058
Arunachal Pradesh,North East,Bharti Airtel,2021,3,164165.205819959,,
Arunachal Pradesh,North East,Reliance Communications,2021,3,0.0,,
Arunachal Pradesh,North East,Reliance Jio,2021,3,128259.615331793,1050.155341906,2.60558722203
Arunachal Pradesh,North East,Vodafone Idea,2021,3,42543.897564522,9.97614321,2.67088561395
Assam,Assam,BSNL,2021,3,3033066.0,82206.0,46.54
Assam,Assam,Bharti Airtel,2021,3,,,99.73
Assam,Assam,Bharti Airtel,2021,3,9238358.0,,
Assam,Assam,Reliance Jio,2021,3,9243798.0,47332.0,78.49
Assam,Assam,Vodafone Idea,2021,3,3203509.0,3390.0,91.23
Assam,North East,BSNL,2021,3,934587.209036448,45988.016312205,45.42556559013
Assam,North East,Bharti Airtel,2021,3,,,70.4938238334
Assam,North East,Bharti Airtel,2021,3,3702225.86461956,,
Assam,North East,Reliance Communications,2021,3,0.0,,
Assam,North East,Reliance Jio,2021,3,2892489.08071474,23682.925070838,58.76076089169
Assam,North East,Vodafone Idea,2021,3,959442.758643006,224.98028883,60.23335914585
